city_rank,city_name,osm_type,osm_id,lat,lon,kind,leisure,sport,club,access,name,operator,tennis_courts_tag,surface,in_park,park_name,in_park,park_name
1,Greater London,way,23762937,51.4947065,-0.2374728,court,pitch,tennis,,,,,,paved,1,Ravenscourt Park,1,Ravenscourt Park
1,Greater London,way,24215666,51.6419511,-0.1244891,court,pitch,tennis,,,,,,asphalt,1,Oakwood Park,1,Oakwood Park
1,Greater London,way,24313795,51.4908057,-0.3182285,court,pitch,tennis,,,,,,,1,Boston Manor Park,1,Boston Manor Park
1,Greater London,way,24384629,51.4947609,-0.2572079,court,pitch,tennis,,,,,,tartan,1,Chiswick Back Common,1,Chiswick Back Common
1,Greater London,way,24392991,51.3933383,-0.270618,sports_centre,sports_centre,football;rugby_union;cricket;netball;tennis,,,LSE Sports Ground,London School of Economics and Political Science,,,0,,0,
1,Greater London,way,24527438,51.3729218,-0.2408552,court,pitch,tennis,,,,,,asphalt,0,,0,
1,Greater London,way,24532080,51.3859124,-0.2343413,court,pitch,tennis,,,,,,grass,1,Mayflower Park,1,Mayflower Park
1,Greater London,way,24539527,51.3780416,-0.1948681,court,pitch,tennis,,,,,,,1,Rosehill Park,1,Rosehill Park
1,Greater London,way,24539529,51.3792536,-0.1952106,court,pitch,tennis,,,,,,clay,1,Rosehill Park,1,Rosehill Park
1,Greater London,way,24585183,51.3622851,-0.221983,court,pitch,tennis,,,,,,,1,Cheam Recreation Ground,1,Cheam Recreation Ground
1,Greater London,way,24620340,51.4032464,-0.2760739,sports_centre,sports_centre,tennis,,customers,Park Tennis Kingston,,,,1,Kingston Road Recreation Ground,1,Kingston Road Recreation Ground
1,Greater London,way,24678202,51.6542141,-0.210546,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24693534,51.6557681,-0.1774788,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24750961,51.494798,-0.3752266,court,pitch,tennis,,,,,,,1,Wolf Fields Park,1,Wolf Fields Park
1,Greater London,way,24751862,51.6433782,-0.2411687,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24751880,51.6431018,-0.2446687,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24751885,51.6434649,-0.2442934,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24760260,51.3526669,-0.1849907,court,pitch,tennis,,,,,,concrete,0,,0,
1,Greater London,way,24760514,51.3564343,-0.1808811,sports_centre,sports_centre,petanque;tennis,sport,,Sutton Highfields Tennis & Pétanque Club,,,,0,,0,
1,Greater London,way,24772363,51.6468193,-0.1833615,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24777615,51.3549584,-0.1700584,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24777616,51.3549818,-0.1698611,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24777617,51.3546381,-0.1699045,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24777618,51.3546114,-0.1701082,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24777619,51.3543131,-0.1699272,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24777620,51.354284,-0.1701321,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24777621,51.354342,-0.1697197,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24822663,51.4956975,-0.0583437,court,pitch,tennis,,yes,,,,asphalt,1,Southwark Park,1,Southwark Park
1,Greater London,way,24975589,51.4853384,-0.1353769,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,24975737,51.4932141,-0.1365524,court,pitch,tennis,,private,,,,,0,,0,
1,Greater London,way,25200372,51.5795488,-0.3952118,sports_centre,sports_centre,tennis,,,Lowlands Tennis Club,,,,0,,0,
1,Greater London,way,25292508,51.5511111,-0.1634104,sports_centre,sports_centre,tennis,sport,,Globe Tennis Club,,,,0,,0,
1,Greater London,way,25396729,51.6089104,0.042904,sports_centre,sports_centre,tennis,,private,,,,,0,,0,
1,Greater London,way,25694730,51.448209,-0.3238144,court,pitch,tennis,,,,,,,1,,1,
1,Greater London,way,25914699,51.5846339,0.0376903,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,26537027,51.4424599,-0.0693958,sports_centre,sports_centre,tennis,,,Camber Lawn Tennis Club,,,,0,,0,
1,Greater London,way,26547055,51.4203298,-0.1175578,court,pitch,tennis,,,,,,,1,Streatham Common Nature Reserve,1,Streatham Common Nature Reserve
1,Greater London,way,26710706,51.4364464,-0.1394492,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,26772222,51.5935238,-0.1463803,court,pitch,tennis,,,,,,asphalt,1,Muswell Hill Methodist Church Gardens,1,Muswell Hill Methodist Church Gardens
1,Greater London,way,26797329,51.3931087,-0.2892862,sports_centre,sports_centre,tennis,,,Surbiton Racket and Fitness Club,,,,0,,0,
1,Greater London,way,26980315,51.5280884,-0.0840231,court,pitch,tennis,,,,Hackney Tennis,,,1,Aske Gardens,1,Aske Gardens
1,Greater London,way,27141276,51.4278084,-0.3714575,court,pitch,tennis,,private,,,,,0,,0,
