city_rank,city_name,osm_type,osm_id,lat,lon,kind,leisure,sport,club,access,name,operator,tennis_courts_tag,surface,in_park,park_name,in_park,park_name
1,Greater London,way,20206484,51.5155273,-0.2207132,sports_centre,sports_centre,climbing;tennis;badminton;football;eton_fives;squash,,,Westway Sports Centre,,,,0,,0,
1,Greater London,way,20212520,51.5977245,-0.1902064,court,pitch,tennis,,,,,,acrylic,0,,0,
1,Greater London,way,22312263,51.5893332,-0.3513649,sports_centre,sports_centre,tennis,,,,,,,0,,0,
1,Greater London,way,22315736,51.5929092,-0.366043,court,pitch,tennis;netball,,,,,,,0,,0,
1,Greater London,way,22696925,51.5003079,-0.2816352,sports_centre,sports_centre,bowls;tennis,sport,,Gunnersbury Triangle Club,,,,0,,0,
1,Greater London,way,22933413,51.4816323,-0.0929126,court,pitch,tennis,,,Court 3,,,asphalt,1,Burgess Park,1,Burgess Park
1,Greater London,way,22933414,51.4815278,-0.091706,court,pitch,tennis,,,Court 7,,,asphalt,1,Burgess Park,1,Burgess Park
1,Greater London,way,22999227,51.3540759,-0.2181223,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,22999238,51.354608,-0.2185149,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,22999242,51.3543504,-0.218212,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,23022262,51.3497261,-0.2157818,court,pitch,tennis,,,,,,artificial_turf,0,,0,
1,Greater London,way,23022287,51.3497808,-0.2155864,court,pitch,tennis,,,,,,artificial_turf,0,,0,
1,Greater London,way,23022288,51.3498442,-0.2153613,court,pitch,tennis,,,,,,artificial_turf,0,,0,
1,Greater London,way,23022292,51.3499087,-0.2151312,court,pitch,tennis,,,,,,artificial_turf,0,,0,
1,Greater London,way,23022319,51.3382467,-0.2107877,court,pitch,tennis,,private,,,,,0,,0,
1,Greater London,way,23022320,51.3383238,-0.2106046,court,pitch,tennis,,private,,,,,0,,0,
1,Greater London,way,23022325,51.3384003,-0.2104208,court,pitch,tennis,,private,,,,,0,,0,
1,Greater London,way,23086131,51.4527927,-0.3250722,court,pitch,tennis,,,,,4,asphalt,1,Moormead Park,1,Moormead Park
1,Greater London,way,23141600,51.5481918,0.1676901,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,23446210,51.5147125,-0.2202679,court,pitch,tennis,,,,,,clay,0,,0,
1,Greater London,way,23446211,51.5143377,-0.2204989,court,pitch,tennis,,,,,,clay,0,,0,
1,Greater London,way,23448049,51.6347904,-0.1121609,court,pitch,tennis,,,,,,,1,Grovelands Park,1,Grovelands Park
1,Greater London,way,23556205,51.4555018,-0.3059735,court,pitch,tennis,,,,,,concrete,0,,0,
1,Greater London,way,23716271,51.6190933,-0.1177009,court,pitch,tennis,,,,,,,1,Broomfield Park,1,Broomfield Park
1,Greater London,way,23716272,51.618669,-0.1181556,court,pitch,tennis,,,,,,,1,Broomfield Park,1,Broomfield Park
